,SAT I (breakdown): 1500 (didn’t send),"ACT: 35 (36E, 34R, 30M, 36S)","SAT II: Chem 730, Math I 730, USH 700, Physics 700, Lit 730, Math II 700 (I had a fee waiver to take them don’t judge me)",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 1/162,Gender: Male,Ethnicity (Hispanic Y/N/not reported): N,Income Bracket: 50-70k,"School Type: Urban Catholic, co-ed, very few ivy students ever"
Decision: Deferred,SAT I (breakdown): n/a,ACT: 36,,GPA (out of 4.0): 3.95,Rank (percentile if rank is unavailable): n/a,Gender: Female,Ethnicity (Hispanic Y/N/not reported): nr,Income Bracket: middle class,School Type: Public
,SAT: 1340,,,GPA: 89/100,,,,,
,SAT II: 690,ACT: 26,SAT II: 690,GPA: 3.68,,,,,
,"SAT I (breakdown): 1570 (800 Math, 770 R/W)",,"SAT II: 800 Math II, 790 Physics","GPA (out of 4.0): My school has 4.3 unweighted scale, but I think mine is ~3.97 on a 4.0 scale. 4.0 from sophomore year onward.","Rank (percentile if rank is unavailable): 1/469, but school doesn't officially provide rank",Gender: Male,Ethnicity (Hispanic Y/N/not reported): Y (Guatemalan),Income Bracket: ~75k?,School Type: Central NJ Public
Decision: Deferred,"SAT I (breakdown): 1490 (740 math, 750 English), single sitting",ACT: N/A,SAT II: Chemistry: 630 Mathematics II 670,"GPA (out of 4.0): (My school is super weird with GPA. Honors, DE, and AP are all weighted the same, and we don’t do 4.0) UW, 98.08/100, W: 100.54/105",Rank (percentile if rank is unavailable): 2/273,Gender: Male,Ethnicity (Hispanic Y/N/not reported): No,"Income Bracket: ~$105,000","School Type: Public, rural"
,SAT I (breakdown): R 780 M 800 W 750,ACT: nope,SAT II: Physics 800 Math 2 800,GPA (out of 4.0): 3.95,Rank (percentile if rank is unavailable): 1/1,Gender: male,Ethnicity (Hispanic Y/N/not reported): white,Income Bracket:120-130k,"School Type: Charter 9th, Homeschool 10th-12th"
,SAT I (breakdown): 1520 (720 English 800 Math),ACT: did not take,"SAT II: 800 US History, 750 Chemistry, 750 Math II(didn't want to retake since I got a 5 on BC)",GPA (out of 4.0): 3.8 (lazy bum freshman year and first semester sophomore year),Rank (percentile if rank is unavailable): NA but somewhere in top 5%,Gender: Male,Ethnicity (Hispanic Y/N/not reported):,Income Bracket: 200k+,School Type: mediocre public
Decision: Accepted ,"SAT I (breakdown): 1440, Math - 710, ERW - 730",ACT (breakdown): Didn't take,SAT II: Math 2 - 730 Physics - 690,GPA (out of 4.0): 3.69,Rank (percentile if rank is unavailable): N/A,Gender: Female,Ethnicity: Black,"Income Bracket: ~40,000",School Type: Not competitive
,SAT I (breakdown): 1450. 720 Math 730 Reading & Writing. 22/24 Essay,ACT: NONE,SAT II: NONE,GPA (out of 4.0): 3.7 UW ~3.9 W,Rank (percentile if rank is unavailable): 4/350,Gender: Male,Ethnicity (Hispanic Y/N/not reported): Non-Hispanic,Income Bracket: <40K,"School Type: Public school (around 5-8 people a year go to Ivies, so I guess it's okay)"
Decision: Accepted (I am shaking rn),"SAT I: 1560, 790M & 770ERW",ACT: n/a,"SAT II: 800 Math II, 770 Lit, 760 World History",GPA (out of 4.0): 4.0,Rank: 1/37,Gender: male,Ethnicity/Race: whitie,Income Bracket: ~80K,"School Type: Very small parochial school (private Christian school, but not the bougie kind)"
Decision: Accepted Objective:,"SAT I (breakdown): 1480 (740 M, 740 R)",ACT: 28 (did not submit),"SAT II: 660 (Lit, US History) & 610 (Math 1- did not send)",GPA (out of 4.0): 3.94,Rank (percentile if rank is unavailable): 3/150,Gender: Female,Ethnicity (Hispanic Y/N/not reported): No,"Income Bracket: < $25,000",School Type: Public (Charter)
Decision: Accepted Objective:,"SAT I (breakdown): 1480 (740 M, 740 R)",ACT: 28 (did not submit),"SAT II: 660 (Lit, US History) & 610 (Math 1- did not send)",GPA (out of 4.0): 3.94,Rank (percentile if rank is unavailable): 3/150,Gender: Female,Ethnicity (Hispanic Y/N/not reported): No,"Income Bracket: <$25,000",School Type: Public (Charter)
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Deferred,"SAT I (breakdown): 1540 (760 EBRW, 780 Math)",ACT (breakdown): taken once but not sent; 32,"SAT II: 690 Math II, 750 Biology M",GPA (out of 4.0): 3.85,Rank (percentile if rank is unavailable): none,Gender: Female,Ethnicity: Indian,,School Type: Large Public
Decision: Deferred,"SAT I (breakdown): 1510: Math: 780, Reading: 730",ACT (breakdown): 31,"SAT II: Math II: 800, Physics: 750, (US History: 650 not reported)",GPA (out of 4.0): 4,Rank (percentile if rank is unavailable): N/A,Gender: M,Ethnicity: Caucasian,,School Type: Independent
Decision: Deferred,"SAT I (breakdown): 800 M, 760 R",ACT (breakdown): N/A,"SAT II: 800 Math II, 800 Physics",GPA (out of 4.0): 3.98,Rank (percentile if rank is unavailable): 6/320,Gender: Male,Ethnicity: White,,School Type: Split between public/magnet
Decision: Deferred,"SAT I (breakdown): 1540 (790 Math, 750 English)",ACT (breakdown): N/A,"SAT II: 730 Math II, 690 Physics","GPA (out of 4.0): Unsure, around 3.8 probably","Rank (percentile if rank is unavailable): Unsure, top 10%",Gender: Male,Ethnicity: White,,School Type: Public
Decision: Deferred,SAT I (breakdown): N/A,"ACT (breakdown): 31C, 32E, 35M, 27R (oof), 30S","SAT II: 730 Math I, 710 US History",GPA (out of 4.0): 4.000,Rank (percentile if rank is unavailable): 1 out of 371,Gender: Male,Ethnicity: Asian American (Japanese/Italian),,"School Type: Public, around 1800 students total"
Decision: Accepted,"SAT I (breakdown): 1240 (630 EBRW, 610 math)",ACT (breakdown):,"SAT II: 690 BioE, 700 US History",GPA (out of 4.0): 3.68,Rank (percentile if rank is unavailable): 37/615,Gender: Male,Ethnicity: African-American,,School Type: Suburban public
Decision Accepted,SAT I (breakdown):,ACT (breakdown):36,"SAT II:800 Math2, 800 World History",GPA (out of 4.0):3.9,Rank (percentile if rank is unavailable): top 10%,Gender:Male,Ethnicity:white,,School Type: Private
Decision: Accepted,SAT I (breakdown): n/a,"ACT (breakdown): 35 (36E, 35M, 34R, 34S)","SAT II: Math II: 790, Chem: 710 oof",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): n/a,Gender: Female,Ethnicity: South Korean,,"School Type: public, a really big school (3k + kids)"
Decision: Deferred[*/color][*/size][*/b],SAT I (breakdown):NA,"ACT (breakdown):36 C, 35E, 36M, 35R, 36S","SAT II: 730 Math1, 720 English (Didn’t send both)",GPA (out of 4.0): 93/100,Rank (percentile if rank is unavailable): school doesn’t rank but ~ 10%,Gender: Male,Ethnicity: Jewish Caucasian,,"School Type: Small, Jewish Day School"
Decision: Deferred,"SAT I (breakdown): 1530 superscore (790 M, 740 E), didn't send","ACT (breakdown): 35 (36 M/36 S/35 E/33 R, 10 Essay)","SAT II: 800 Math II, 770 Bio (M)",GPA (out of 4.0): 3.50,Rank (percentile if rank is unavailable): Top 15%,Gender:,Ethnicity:,,School Type:
Decision: Deferred,SAT I (breakdown): 1500,ACT (breakdown): 35,SAT II: Math II: 780 Physics: 780,GPA (out of 4.0): 3.9,Rank (percentile if rank is unavailable): 17 / 560,Gender: Female,Ethnicity: White,,School Type: Public
Decision: Deferred,"SAT I (breakdown): 800 Math, 790 ERW",ACT (breakdown): Not taken,"SAT II: 800 Math 2, 790 Chemistry","GPA (out of 4.0): I have no idea, probably around 3.8-4.0",Rank (percentile if rank is unavailable): Top 10%,Gender: Male,Ethnicity: Hispanic,,School Type: Public
Decision: Deferred,"SAT I (breakdown): 1540 Composite, highest categories are 790 CR+W on one test and 800 M on another test (submitted two tests with highest categories and composite)",ACT (breakdown): 36C - 36E/35M/36R/36S (submitted),"SAT II: 800 Math II, 710 Physics",GPA (out of 4.0): 3.8/4 (oof),Rank (percentile if rank is unavailable): Top 5%,Gender: Male (oooof),Ethnicity: Indian (oof),Income Bracket: >200k (oooooof),School Type: Public (avg act right around 24)
Decision: Deferred,"SAT I (breakdown): 1420 (1st try), 1430 (2nd try), 1470 (Superscore - sent to Harvard 780M, 690 R/W)","ACT (breakdown): 32 Composite, 35M, 31E, 31S, 30R (sent)","SAT II: 740 Math 2, 710 Chemistry, 710 Biology.",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): #1,Gender: Male,Ethnicity: African American,,School Type: Charter
Decision: Accepted,SAT I (breakdown): Didn't take,"ACT (breakdown): 34 (35E,36M,36R,27S) and 34(36E,33M,36R,31S)",SAT II: 800 Math Level II,GPA (out of 4.0): 3.889,Rank (percentile if rank is unavailable): No rank,Gender: Male,Ethnicity: African/African-American,,School Type: Private
,,,,,,,,,
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Accepted,"SAT I (breakdown): 1560 (800 Math/760 Reading/Writing), 18 Essay",ACT (breakdown): n.a.,"SAT II: 800 Math II, 750 U.S. History",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 1/568,Gender: M,Ethnicity:,Income Bracket: $60-80k,School Type: Large Public
Decision: Deferred  ,SAT I (breakdown): N/A (didn’t take),"ACT (breakdown): 28C (25E,35M,25R,25S) (yikessss lol)","SAT II: 780 Math II, 710 Physics",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): N/A (not ranked),Gender: Male,Ethnicity: White,Income Bracket: < $65000,"School Type: Officially, religious. In practice, public."
Decision: Deferred,SAT I (breakdown): 1530 (770 M 760RW),ACT (breakdown): N/A,"SAT II: 800 US History, 790 Math II, 760 Biology E",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 1/350,Gender: female,Ethnicity: whiiiiiite,Income Bracket: >150k,School Type: public
Decision: Deferred,SAT I (breakdown): 780M/790ERBW,ACT (breakdown): 35/35/35/34S,"SAT II: 800 Math II, 790 US History, 750 Physics",GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable): weighted = 3/403, unweighted = 1/403",Gender: female,Ethnicity: white,Income Bracket: upper middle class,School Type: large public
Decision: Deferred,SAT I (breakdown): 1600,ACT (breakdown): n/a,"SAT II: Math 2 800, Chemistry 800",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): n/a,Gender: male,Ethnicity: white,Income Bracket: 100-150k,School Type: Public
Decision: Accepted,SAT I (breakdown): Math: 800; R&W: 760; Essay: 8 8 8,ACT (breakdown): Reading: 34; Writing: 35; Math: 36; Science: 36. Essay: 10/12,SAT II: Chemistry: 800; Biology M: 800; Math II: 800; World History: 800,GPA (out of 4.0): 4.00,Rank (percentile if rank is unavailable): 1,Gender: Male,Ethnicity: White,Income Bracket: Middle class,"School Type: very large public (3000 kids, another guy got in with me)"
Decision: Deferred,"SAT I (breakdown): 1550, 800 M, 750 CR","ACT (breakdown): 35 E, 35 M, 34 R, 34 S","SAT II: 780 US History, 780 Math II",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): None,Gender: Male,Ethnicity: White,Income Bracket: About 250k,School Type: Public
Decision: Accepted,SAT I (breakdown): Eng: 750 Math: 760,ACT (breakdown): Eng: 36 Reading: 36 Math: 33 Science: 31,SAT II: Math II: 690 US History: 780,GPA (out of 4.0): IDK,Rank (percentile if rank is unavailable): 2/ 560,Gender: Female,Ethnicity: African American,Income Bracket: 160 K +,School Type: Large Public
Decision: Accepted,SAT I (breakdown): Eng: 750 Math: 760,ACT (breakdown): Eng: 36 Reading:36 Math:33 Science: 31,SAT II: Math 2: 690 US History: 780,GPA (out of 4.0): IDK,Rank (percentile if rank is unavailable): 2/560,Gender: Female,Ethnicity: African American,Income Bracket: 160K +,School Type: Large Public
Decision: ACCEPTED!!! ,SAT I (breakdown): N/A,ACT (breakdown): 35 C (36E 35M 34R 36S 9W),"SAT II: 770 Math II, 720 Chem",GPA (out of 4.0): 19.69/20,Rank (percentile if rank is unavailable): 2/175,Gender: female,Ethnicity: White (middle-eastern),Income Bracket: uber low,School Type: NODET
Decision: Accepted,"SAT I (breakdown): 1510 (M-800, R-710) -- Did not submit",ACT (breakdown): 36 (36/36/36/35/11) -- Submitted,"SAT II: 800 Math II, 800 Biology M",GPA (out of 4.0): 4.0/4.0,Rank (percentile if rank is unavailable): 2/750,Gender: Female,Ethnicity: Korean,Income Bracket: Middle (100k ish),School Type: Large Public
Decision: Accepted,SAT I: 1450 (Eng. 740 Maths.710),,SAT II: Chinese.790 - Literature.720,GPA (out of 4.0): n/a,Rank (percentile if rank is unavailable):n/a,Gender: Female,"Ethnicity: British, Chinese","Income Bracket: low income, high assets",School Type: Specialist Music school
Decision: Accepted,"SAT I (breakdown): 1570 (800 M, 770 CR/W), 24 essay",ACT (breakdown): N/A,"SAT II: Biology M (800), Physics (800), Math II (800)",GPA (out of 4.0): 3.80,Rank (percentile if rank is unavailable): 1,Gender: Male,Ethnicity: Asian,Income Bracket: $200k+,School Type: Public magnet
Decision: Accepted,SAT I (breakdown): 1510 (780M 730RW) Didn't submit - just for National Merit,"ACT (breakdown): 36 (36M, 36S, 35E, 35R, 9W)","SAT II: 750 Math II, 720 Literature",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 1/300,Gender: Male,Ethnicity: White,"Income Bracket: <30,000",School Type: Public
Decision: Accepted,SAT I: 760R 800M 22E,,"SAT II: 800 Math II, 780 Chemistry, 780 Latin",GPA (out of 4.0): 4.0,"Rank: Officially N/A, unofficially at least top 5/120",Gender: prefer not to say,"Ethnicity: sorta complicated but basically half ashkenazi jew, half caribbean black",Income Bracket: 200kish,"School Type: private academic, full of high-achievers -- one of the best in my country"
Decision: Deferred,SAT I (breakdown): 1590 (790M 800W 7/7/7 Essay) - single sitting,ACT (breakdown): did not take,"SAT II: 800 Math II, 800 Biology Molecular, 800 Physics",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): n/a - does not rank,Gender: Male,Ethnicity: Asian,Income Bracket: high enough for no financial aid,School Type: small public magnet
Decision: Accepted,SAT I (breakdown): 1550 (780 M 770 RW),ACT (breakdown): 35 (sent 2: 36R 35E 36M 34S and 34R 36E 35M 34S 9W),"SAT II: 800 Math II, 800 Spanish Reading, 800 Chemistry",GPA (out of 4.0): 3.95,Rank (percentile if rank is unavailable): ~20/700,Gender: Male,"Ethnicity: Hispanic, African","Income Bracket: 60,000-70,000",School Type: Public
Decision: Deferred,"SAT I (breakdown): (took for NM, didn't send) 1520/780 reading/740 math",ACT (breakdown): 34C/36E/31M/35R/33S/9essay,SAT II: 790 Math II/770 USH,GPA (out of 4.0): frosh/soph: ~3.85 junior: 4.0 (two different schools),Rank (percentile if rank is unavailable): n/a,Gender: female,Ethnicity: white,Income Bracket: 200k+,"School Type: private, small"
Decision: Accepted,SAT I (breakdown): N/A,"ACT (breakdown): 32 Composite (36 English, 35 Reading, 27 Math, (yikes), 31 Science, 8 Writing (yikes))",SAT II: US History (750) Biology Ecological (730),GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 2/210,Gender: Female,Ethnicity: African American,Income Bracket: Definitely applied for financial aid...,School Type: Online
Decision: Accepted,SAT I (breakdown):,ACT (breakdown): 32 (33 superscored),SAT II: 730 USH 670 Lit,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 3/570,Gender: M,Ethnicity: Black,"Income Bracket: 60,000",School Type: Public
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Deferred,"SAT I (breakdown): 1590 (790 Reading, 800 Math)",ACT (breakdown): N/A,SAT II:,GPA (out of 4.0): 3.92,Rank (percentile if rank is unavailable): N/A,Gender-Sexuality Alliance (President),Ethnicity: White,"Income Bracket: $300,000+",School Type: Public
Decision: Rejected,"SAT I (breakdown): 1550 (790 M, 760 R) All in one sitting",ACT (breakdown): 34 but didn't send,"SAT II: 800 Math II, 700 USH, 700 Chem",GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable): 12/965 (stupid school policies, lose GPA point for fine arts and sports. Would be number 1 if I wasn't in band)",Gender: XX,Ethnicity: Asian (Indian),Income Bracket: 2 high 4 aid ,School Type: Public
Decision: Accepted,SAT I (breakdown): 1410 (LOL didn’t send for obv. reasons),"ACT (breakdown): Cumulative: 34, Reading: 35, English: 34, Math: 35, Science: 31","SAT II: Math II: 770, Lit: 740",GPA (out of 4.0): 3.97,Rank (percentile if rank is unavailable): 17/627,Gender: Female,Ethnicity: Asian,Income Bracket: upper class,School Type: huge public school
"Decision: RejectedI didn't list everything for privacy reasons, but I describe the ones I neglected",SAT I (breakdown):,ACT (breakdown): 33 (superscore 34.5).,"SAT II: one 750, two 740",GPA (out of 4.0): 92% in junior year,Rank (percentile if rank is unavailable): N/A,"Gender: Sorry, can't tell",Ethnicity: Sorry can't tell,"Income Bracket: sorry, can't tell.",School Type: Sorry can't tell
Decision: Deferred ,SAT I (breakdown): 1520 (720 R 800 M),ACT (breakdown): N/A,SAT II: N/A,GPA (out of 4.0): 3.86,Rank (percentile if rank is unavailable): 31/380,Gender: Male,Ethnicity: Asian,"Income Bracket: > $100,000",School Type: Competitive public
Decision: Deferred,SAT I (breakdown): um pls lmk why you would take the SAT,ACT (breakdown): 32 (E32 M32 R34 S30),SAT II: N/A,GPA (out of 4.0): 3.791,Rank (percentile if rank is unavailable): hah nope,Gender: female,Ethnicity: lollllll,Income Bracket: idk man,School Type: public
Decision: Accepted - CC,"SAT I (breakdown): 1570 (770 CR, 800 M)",ACT (breakdown): n/a,"SAT II: 790 World History, 760 Chemistry",GPA (out of 4.0): 3.78,Rank (percentile if rank is unavailable): n/a,Gender: Male,Ethnicity: White,Income Bracket: 240k+,School Type: Competitive Public
Decision: Accepted - Columbia College,SAT I (breakdown): 1370 (Math:720 English: 650,ACT (breakdown): Didn't take,SAT II: Did not take any,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 1/70,Gender: Female,Ethnicity: Asian (Bengali),"Income Bracket: <40,000",School Type: small public school
Decision: Deferred SEAS[/color][/size][/b],SAT I (breakdown): 1550,ACT (breakdown): None,"SAT II: Math II: 800, Chem: 780",GPA (out of 4.0): School does not have unweighted,Rank (percentile if rank is unavailable): Does not rank,Gender: Male,Ethnicity: Asian ;(,Income Bracket: $50000-$80000,School Type: Public Magnet
,,,,,,,,,
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision Rejected,SAT I (breakdown): First time 1380 Second time 1420 Third time 1500 (no super score),ACT (breakdown): First time 25 Second time 29 Third time 32 (didn't submit) lol took the sat and act three time in a row within 3 month,SAT II: Chinese 800 Math II 750,GPA (out of 4.0): 91%/100% (have to work 6-7 hr a day),Rank (percentile if rank is unavailable): Don't know... probably the top 15%,Gender:Male,Ethnicity:Asian Chinese ( I'm proud of my race),Income Bracket: 20k Low income,School Type: Public
Decision: Accepted w/ Kluge Scholar Recognition Objective:,SAT I (breakdown M/CR/W/Essay): 1540: 790M - 750E - 8/8/8 Essay,ACT (breakdown): N/A,"SAT II (subject, score): 800 Physics - 800 Chemistry - 750 Math 2",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 4/317,Gender: M,Ethnicity: White Hispanic,Income Bracket Range: High,School Type: Suburban Public
